title,paperback_price,cover_image,authors,rating_product,rating_amount
Python: A Lisa Emmer Historical Thriller (The Lisa Emmer Series Book 3),0.00,https://m.media-amazon.com/images/I/41yz0bnw0rL._SY346_.jpg,Visit Amazon's Rob  Swigart Page,4.0 out of 5,1 rating
"Expert Python Programming: Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",39.99,"https://images-na.ssl-images-amazon.com/images/I/5188oY8VGML._SX404_BO1,204,203,200_.jpg","Michał Jaworski, Visit Amazon's Tarek Ziadé Page",4.4 out of 5,28
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",27.00,"https://images-na.ssl-images-amazon.com/images/I/51GcXOrWROL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Aurélien Géron Page,4.8 out of 5,"2,608"
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",16.96,"https://images-na.ssl-images-amazon.com/images/I/51NfalwJmBL._SX376_BO1,204,203,200_.jpg",Visit Amazon's Julien Danjou Page,4.7 out of 5,285
Python All-in-One For Dummies (For Dummies (Computer/Tech)),31.49,"https://images-na.ssl-images-amazon.com/images/I/51tmf-Qp5AL._SX397_BO1,204,203,200_.jpg","Visit Amazon's John C. Shovic Page, Visit Amazon's Alan Simpson Page",4.5 out of 5,94
PYTHON: PROGRAMMING: A BEGINNER’S GUIDE TO LEARN PYTHON IN 7 DAYS,9.95,https://m.media-amazon.com/images/I/41eUu1vIpaL.jpg,Visit Amazon's Ramsey Hamilton Page,4.4 out of 5,"3,024"
PYTHON FOR BEGINNERS: Enter the Real World of Python and Learn How to Think Like a Programmer,14.99,https://m.media-amazon.com/images/I/41Vmq9xbX1L.jpg,Oliver Moore,5.0 out of 5,116
"Modern Python Cookbook: 133 recipes to develop flawless and expressive programs in Python 3.8, 2nd Edition",49.99,"https://images-na.ssl-images-amazon.com/images/I/41VfljxNldL._SX404_BO1,204,203,200_.jpg",Visit Amazon's Steven F. Lott Page,4.4 out of 5,39
"Code This Game!: Make Your Game Using Python, Then Break Your Game to Create a New One!",20.68,"https://images-na.ssl-images-amazon.com/images/I/51pZf-iQebL._SX392_BO1,204,203,200_.jpg","Visit Amazon's Meg Ray Page, Visit Amazon's Odd Dot Page, Keith Zoo",4.4 out of 5,94
"Python for Beginners: Learn Python Programming With No Coding Experience in 7 Days: The Easiest & Quickest Way to Learn Python Coding, Programming, Web-Programming. Be a Python Programmer",15.97,"https://images-na.ssl-images-amazon.com/images/I/41Swk8W1j3L._SX362_BO1,204,203,200_.jpg",Visit Amazon's Santos Ozoemena Page,4.5 out of 5,48
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,24.99,"https://images-na.ssl-images-amazon.com/images/I/51MXrF8mWaL._SX331_BO1,204,203,200_.jpg",Jim Frost,4.6 out of 5,77
Data Science from Scratch: First Principles with Python,25.50 - 28.34,"https://images-na.ssl-images-amazon.com/images/I/51hY+tgxfZL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Joel Grus Page,4.4 out of 5,465
